,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.19400025638341886,0.23929275572299957
IntegratedGradients,0.1412176908416928,0.17300613224506378
GradientShap,0.13649029977667376,0.15980198979377747
GradCAM,0.13268831329667624,0.16349799931049347
FeaturePermutation,0.2395971393109891,0.22107023480508375
