,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.009700087243654273,0.01159705501049757
IntegratedGradients,0.008410952415474616,0.009649848565459251
GradientShap,0.0071689884679662485,0.009222136810421944
GradCAM,0.013622212506952041,0.013324829749763012
FeaturePermutation,0.009378511577713846,0.010370183963910953
