,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.014075136794010991,0.014229881577193737
IntegratedGradients,0.011242669423108783,0.012012284249067307
GradientShap,0.010719749971241295,0.011598167009651661
GradCAM,0.016968495048642507,0.01287251990288496
FeaturePermutation,0.0196579111796913,0.01878484223766444
