,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.35676696939749014,0.44221851229667664
IntegratedGradients,0.35086844868093436,0.4293645918369293
GradientShap,0.34771704445398344,0.43011215329170227
GradCAM,0.3820377992814241,0.3686314821243286
FeaturePermutation,0.3346246162680413,0.3613325585772914
