,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.014532899243477565,0.01325579546391964
IntegratedGradients,0.010509074845223286,0.01013964880257845
GradientShap,0.008462477744139014,0.008910378441214561
GradCAM,0.005440033375490545,0.008071192540228367
FeaturePermutation,0.007285131681070807,0.009947275480511714
