,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.01326854968802871,0.01338742021471262
IntegratedGradients,0.009863448867050945,0.01177523098886013
GradientShap,0.00984868413083341,0.011354459449648857
GradCAM,0.010187813251953054,0.009867544285953045
FeaturePermutation,0.010692835878667673,0.012074011485335394
