,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.013060451386512977,0.012043813243508339
IntegratedGradients,0.010172122295275999,0.010397101752460003
GradientShap,0.009103475583725519,0.009833600372076035
GradCAM,0.01072739646712579,0.012563131749629974
FeaturePermutation,0.012024791228158386,0.011887697150274306
