,RelevanceRankAccuracy,RelevanceMassAccuracy
Saliency,0.315181885133449,0.3469112515449524
IntegratedGradients,0.28295823931919034,0.3082522451877594
GradientShap,0.2791147877987048,0.3037296533584595
GradCAM,0.3379605654041715,0.30689236521720886
FeaturePermutation,0.2635930970229862,
