,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.011202918826434285,0.012605452910065651
IntegratedGradients,0.01153892101513614,0.012320059351623058
GradientShap,0.011512277077537209,0.012385603971779346
GradCAM,0.013374045066421711,0.013107692822813988
FeaturePermutation,0.017667096196280426,0.015521046981472258
