,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.01430784280947374,0.013756997883319855
IntegratedGradients,0.013115771553434135,0.012336203828454018
GradientShap,0.013196570858617123,0.011959259398281574
GradCAM,0.015337324110943153,0.010824414901435375
FeaturePermutation,0.006978469516919359,0.010654009716675582
