,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.013155712434494999,0.01373885665088892
IntegratedGradients,0.00925678624047628,0.010391449555754662
GradientShap,0.009312141355737734,0.010402982123196125
GradCAM,0.0089038797201352,0.009257988072931767
FeaturePermutation,0.0020427932986327862,0.006643365888011126
