,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.013964792809861763,0.013000980950891972
IntegratedGradients,0.009441434842024414,0.010668213479220867
GradientShap,0.008688143778079442,0.010186094790697098
GradCAM,0.011598892637231137,0.012585730291903019
FeaturePermutation,0.011337209116569909,0.014012303802313704
