,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.1537823586529618,0.1544838398694992
IntegratedGradients,0.1230358888712053,0.11098618805408478
GradientShap,0.12544386831837565,0.11294658482074738
GradCAM,0.1267869878269951,0.14992167055606842
FeaturePermutation,0.11898350842560035,0.12487541708099398
