,RelevanceRankAccuracy,PositiveAttributionRatio
Saliency,0.00890237838324191,0.011677159927785397
IntegratedGradients,0.010049188860780007,0.0115921376273036
GradientShap,0.00913959001588085,0.011229826137423515
GradCAM,0.005890237010077808,0.012044026516377926
FeaturePermutation,0.014377196095097007,0.014438629281091617
